signal c1bcc
type 0
comment created using xlabel Tue Aug 29 11:47:10 2000
comment created using xlabel Mon Jul 13 14:02:37 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.238486  -1  H*
    0.420962  -1  L*H
    0.784556  -1  L*H
    1.330905  -1  L*H
    1.748208  -1  0%
signal c1brg
type 0
comment created using xlabel Tue Aug 29 11:45:50 2000
comment created using xlabel Mon Jul 13 14:05:56 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.215699  -1  H*
    0.649757  -1  L*H
    1.233023  -1  L*H
    1.551379  -1  0%
signal f2bcc
type 0
comment created using xlabel Wed Jun  5 15:31:03 2002
comment created using xlabel Tue Jul 28 16:29:14 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
comment created using xlabel Mon Jul 13 10:10:02 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.304221  -1  H*
    0.849042  -1  L*H
    1.212540  -1  L*H
    1.768584  -1  0%
signal i1brg
type 0
comment created using xlabel Fri Jun  9 09:26:54 2000
comment created using xlabel Mon Jul 13 10:47:19 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.223082  -1  L*H
    0.813220  -1  L*H
    1.155244  -1  0%
signal belfast/m2bcc
type 0
comment created using xlabel Wed Jun  5 12:57:25 2002
comment created using xlabel Mon Nov 20 16:19:08 2000
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    2.444178   -1 L*H
    2.658531   -1 0%
    3.788633   -1 H*
    3.979687   -1 L*H
    4.520229   -1 H%
    5.263564   -1 L*H
    5.571114   -1 0%
    6.764214   -1 H*
    7.127229   -1 L*H
    7.234858   -1 0%
    8.092920   -1 H*
    8.847814   -1 L*H
    9.187983   -1 0%
   10.437002   -1 H*
   10.679313   -1 L*H
   10.823769   -1 0%
   11.211186   -1 H*L
   11.840400   -1 0%
   12.470002   -1 H*
   12.731440   -1 L*H
   13.063471   -1 %
   13.510909   -1 H*
   14.056110   -1 mL-h
   14.396279   -1 0%
   14.652570   -1 L*H
   14.876243   -1 0%
   15.998326   -1 L*H
   16.110162   -1 0%
   16.487610   -1 L*H
   16.660024   -1 0%
   17.641662   -1 L*H
   17.842035   -1 #
   18.126285   -1 L*H
   18.326658   -1 #
   18.913329   -1 %H
   19.379313   -1 L*H
   19.696183   -1 0%
   20.385370   -1 H*L
   20.567104   -1 0%
   21.459554   -1 0%
   21.892920   -1 H*
   22.298326   -1 L*H
   22.647814   -1 0%
   24.407646   -1 H*
   24.649958   -1 L*H
   25.167200   -1 0%
   26.697580   -1 H*
   27.028428   -1 L*H
   27.317339   -1 0%
   27.340638   -1 %H
   27.615569   -1 L*H
   28.146791   -1 0%
   28.952123   -1 H*L
   30.135723   -1 L*H
   30.392014   -1 0%
signal m2brg
type 0
comment created using xlabel Wed Jun  5 12:41:23 2002
comment created using xlabel Tue Jan 26 14:38:12 1999
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.754221   -1 H*L
    1.260789   -1 0%
    1.298312   -1 %H
    1.387431   -1 !H*
    1.471859   -1 0%
    2.086307   -1 H*
    2.461542   -1 L*H
    2.813325   -1 0%
    3.665667   -1 H*L
    4.181616   -1 H*L
    4.889873   -1 L*H
    5.190061   -1 0%
    5.850472   -1 H*
    6.108446   -1 L*H
    6.225707   -1 0%
    6.783870   -1 L*H
    6.980869   -1 0%
    9.726455   -1 H*L
    9.918763   -1 #
    9.998500   -1 H*L
   10.247094   -1 !H*
   10.416327   -1 #
   10.847471   -1 #
   11.081993   -1 H*
   11.424395   -1 L*H
   11.682369   -1 0%
   12.446912   -1 L*H
   12.865776   -1 0%
   14.888372   -1 H*
   15.136966   -1 L*H
   15.305822   -1 0%
   18.737341   -1 H*L
   18.967173   -1 #
   19.537336   -1 H*
   19.914077   -1 #
   20.917267   -1 H*
   21.292502   -1 L*H
   21.953666   -1 L*H
   22.287916   -1 0%
   23.645221   -1 L*H
   23.781244   -1 0%
   24.948411   -1 L*H
   25.394003   -1 H%
   25.862106   -1 L*H
   26.321769   -1 0%
   26.738653   -1 L*H
   27.193626   -1 T*?
   28.402631   -1 H*
   28.510511   -1 #
   29.171863   -1 H*
   30.166237   -1 L*H
   30.331425   -1 0%
   31.871487   -1 L*H
   32.035652   -1 0%
   32.818956   -1 H*L
   32.950288   -1 0%
   33.877866   -1 H*
   34.243721   -1 L*H
   34.534528   -1 0%
   36.514152   -1 L*
   36.577473   -1 0%
   36.694734   -1 H*
   36.915185   -1 H*
   37.189575   -1 L*H
   37.320908   -1 0%
   38.433758   -1 L*H
   38.640138   -1 0%
   39.019687   -1 L*H
   39.209650   -1 0%
   39.270625   -1 L*H
   39.376160   -1 0%
   39.844828   -1 H*L
   40.227099   -1 0%
   40.290043   -1 H*L
   40.920908   -1 L*H
   41.056931   -1 0%
   41.305524   -1 H*
   41.518939   -1 !H*
   41.622129   -1 0%
   42.648912   -1 H*
   42.942065   -1 L*H
   43.304315   -1 H%
   46.968519   -1 H*L
   47.043566   -1 0%
   47.280433   -1 H*
   47.547788   -1 0%
   49.199663   -1 H*
   49.633529   -1 !H*
   49.858670   -1 0%
   50.359451   -1 H*
   50.793317   -1 L*H
   51.342098   -1 L*H
   51.764238   -1 L*H
